,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,test_used,effect_size,ci_lower,ci_upper
0,P3,0.002101698360142763,0.024037560182184163,0.005468262145150501,0.14658788763215172,0.11364159379968333,0.03285236341479759,0.00468403653881625,0.003344173784853592,0.0028139748208730647,0.0047754504164532535,0.01939775502856575,0.044441989756894174,0.0038598695661622644,0.005040417005902473,0.0,0.013845313523416225,0.010741939300513334,0.012480548331626562,Cliff's Delta,-0.06172839506172839,-0.6055555555555555,0.531481481481481
1,P9,0.008322866688358455,0.01415271156550202,0.00880365156973713,0.00087336244541484,0.011991082627964514,0.024908217575429853,0.01673725219796353,0.0,0.006282264707534233,0.020477601740372275,0.008406180631156272,0.016126175474167673,0.0015656686398116027,0.0,0.0,0.0010397827803297244,0.051805470864844994,0.000368731563421825,Cliff's Delta,-0.16049382716049382,-0.7283950617283951,0.38271604938271603
2,P2,0.0037593984962406,0.0,0.20239983883558713,0.0186229396095414,0.020175144136220468,0.006492052831878216,0.0,0.0,0.0,0.009277776453549193,0.023492790075810687,0.0034737296768976387,0.016377029726176162,0.0007158001527405941,0.00806451612903225,0.0002526650415321158,0.0010484830662632343,0.002510103325750023,Cliff's Delta,0.13580246913580246,-0.4574074074074074,0.7037037037037037
3,P8,0.02475920666350489,0.00919782159857402,0.03666993827235606,0.004692562658286037,0.01982877881095531,0.0025681737203311497,0.0712738065725961,0.02555738919376877,0.015135553035249652,0.02567673736348141,0.16439008904706376,0.0028698229491743352,0.01649487459361306,0.015582620155472673,0.04296236848914634,0.11780962480399725,0.03217496181220551,0.00704969108711172,Cliff's Delta,0.25925925925925924,-0.30864197530864196,0.7537037037037032
4,P1,0.013096768085161446,0.014440570334623837,0.012920452733939101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.3333333333333333,-0.6666666666666666,0.0
7,P7,0.0014832625797409685,0.00861205152833834,0.0001953125,0.004190163536433958,0.03564250367845364,0.0,0.005683802310228514,0.01613092792110627,0.0,0.0,0.01520660553163551,0.004229214053193481,0.0,0.0031897926634768727,0.0,0.0032467532467532,0.07223569623749863,0.05220028275183752,Cliff's Delta,0.012345679012345678,-0.5308641975308642,0.5185185185185185
8,P5,0.013499657756167467,0.0035300767645825336,0.008075255752554336,0.0,0.009751950629838772,0.02092028967541775,0.0,0.0,0.0,0.023467146499188393,0.006442123918737816,0.007499522996730054,0.0025904434497706448,0.0006306221177402882,0.0,0.012570374010461011,0.015099047222687866,0.020470236894919284,Cliff's Delta,0.2839506172839506,-0.2839506172839506,0.7777777777777778
9,P14,0.01096005412684221,0.0023005866990604895,0.008042653049992934,0.06258492379559066,0.024399252245785825,0.04260719721017168,0.01140169512575386,0.015044350253908162,0.0016228529941679528,0.0038674430418246717,0.007265106797904724,0.04309658486237154,0.011917660301266696,0.010699337045910282,0.0,0.0629284546015837,0.014382973709082009,0.0013571643281864707,Cliff's Delta,-0.16049382716049382,-0.7037037037037037,0.4074074074074074
10,P6,0.002790879834903107,0.0015476880145303604,0.006751253132832071,0.004638554109546938,0.006848404255319147,0.0,0.023741239090187768,0.0,3.461884650003182e-05,0.029353013744474982,0.019244964475785654,0.0,0.02337869009409924,0.0,0.0048780487804878,0.0,0.00949238421192995,0.020544081768571542,Cliff's Delta,0.2345679012345679,-0.30864197530864196,0.7654320987654321
13,P4,0.01771331522410281,0.01632516185539289,0.01794871794871794,0.01867804112830517,0.017459775218577958,0.007964135521361625,0.0172413793103448,0.001565227011277482,0.2728542868219556,0.01217131478508741,0.013451423208793884,0.008644100850477777,0.010614431143717542,0.016128747823001593,0.008570268193801881,0.03617988670878598,0.02158974753224921,0.12397847980170404,Cliff's Delta,-0.1111111111111111,-0.7037037037037037,0.48148148148148145
14,P13,0.013427857080068377,0.02476119364380491,0.007015705002747951,0.04735440640540043,0.02948601015379702,0.005206143073427618,0.0633642930856553,0.03143606811656704,0.011645268072121975,0.06472728130551691,0.023909813599284766,0.06707436262496036,0.04029935614292173,0.22382491158920464,0.0,0.0,0.00370968028886146,0.029583286667677112,Cliff's Delta,0.08641975308641975,-0.48148148148148145,0.6302469135802464
15,P12,0.016198078556979953,0.05628758293775559,0.14112023189712106,0.0,0.06794958704473526,0.006378734856395757,0.00449050086355785,0.02746544491756358,0.01089076998761641,0.01987663597926948,0.00522922768606527,0.009631000410284463,0.003949870089656221,0.0,0.0,0.0074330037871245406,0.0019470102225367404,0.046147586981523284,Cliff's Delta,-0.4567901234567901,-0.9012345679012346,0.06172839506172839
16,P10,0.028502140153454605,0.03882719854375628,0.015312184724196298,0.01628926534953142,0.026834163760614035,0.020503003168949423,0.020435208453182842,0.04023887621319945,0.12234871933970629,0.022296517869122606,0.037458630771383394,0.006066930131086153,0.05717790775829116,0.02911509904904801,0.0,0.010993523067657116,0.030460127146784477,0.0,Cliff's Delta,-0.25925925925925924,-0.7530864197530864,0.38271604938271603
17,P11,0.008179811295312794,0.030130102791829875,0.02108628921610297,0.030319456333874048,0.012323597485434459,0.01212444855106975,0.013304902619083006,0.016650589952054477,0.0057349382793715565,0.015570053505350748,0.009082964738277638,0.008679565082411574,0.011397996525843588,0.010282618791191302,0.02951192549868398,0.05678806145509848,0.005982646651829074,0.01131782945736432,Cliff's Delta,-0.20987654320987653,-0.7530864197530864,0.38333333333333275
