,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,6.066929133858268,2.4005681818181817,6.314401622718052,4.264227642276423,6.054108216432866,6.991202346041056,5.824773413897281,8.967289719626168,6.034188034188034,2.7853403141361257,12.456140350877194,16.11464968152866,8.743718592964823,7.1015625,12.264550264550264,4.132075471698113,5.556818181818182,5.6,4.040404040404041,8.96808510638298,1.6140350877192982,40.0,Cliff's Delta,0.15702479338842976,-0.371900826446281,0.6198347107438017
1,react-native,63.351377018043685,69.29637526652452,129.60290556900728,97.66709021601017,272.0827586206897,212.40816326530611,3.6337386018237083,3.944337811900192,4.246710526315789,10.210526315789474,4.39349593495935,4.531791907514451,5.122838944494996,14.992927864214993,4.120096076861489,5.552655265526552,3.956416464891041,5.53663177925785,4.802287581699346,4.967139656460045,4.106397306397306,5.172642762284196,Cliff's Delta,-0.35537190082644626,-0.8181818181818182,0.17355371900826447
2,fastapi,3.4571428571428573,10.700680272108844,3.293577981651376,3.9,2.4318181818181817,1.4857142857142858,1.9166666666666667,2.3314917127071824,1.9057971014492754,5.517647058823529,4.878378378378378,1.8444444444444446,1.9325842696629214,4.609195402298851,5.468571428571429,5.761904761904762,3.73728813559322,1.5413385826771653,2.3941299790356396,3.774818401937046,3.848122866894198,2.21606648199446,Cliff's Delta,-0.008264462809917356,-0.47107438016528924,0.48760330578512395
3,vscode,2.454469507101086,3.02812675792237,3.4429421308815575,3.3988591487494517,1.744171491159443,3.7897255902999363,2.973393989523022,5.496937212863706,2.594561186650185,3.479814814814815,2.6874664759520828,2.5605977515766383,2.9407166123778503,2.613513094684643,2.421075085324232,2.2494321408290743,3.466246939489332,2.9119260304027583,3.2369418960244647,7.561856397235153,3.2223677941877082,1.7572964669738864,Cliff's Delta,-0.2231404958677686,-0.6698347107438016,0.2727272727272727
4,gin,2.1842105263157894,1.7777777777777777,1.8214285714285714,1.5833333333333333,1.6666666666666667,2.533333333333333,2.4130434782608696,2.0,2.2045454545454546,3.7142857142857144,4.633333333333334,2.5,2.0625,2.891891891891892,2.1666666666666665,1.8571428571428572,1.8888888888888888,1.875,2.097560975609756,5.0,3.0714285714285716,2.5,Cliff's Delta,0.19008264462809918,-0.33884297520661155,0.6694214876033058
5,godot,3.727325245522819,6.344398340248962,4.389830508474576,4.714725274725275,4.718557607739665,4.945251396648045,5.444908814589666,3.8704895104895103,4.312557852514656,6.242234169653525,4.290767598160595,4.169213355970571,2.728012048192771,4.554031354983203,3.431594860166289,3.8079096045197742,2.3366906474820146,3.1666666666666665,2.9179431072210065,2.019094766619519,2.3993808049535605,3.8844155844155845,Cliff's Delta,-0.8347107438016529,-1.0,-0.5537190082644629
