,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,262.0,334.0,411.0,273.0,477.0,393.0,377.0,263.0,227.0,231.0,288.0,223.0,219.0,296.0,229.0,177.0,119.0,126.0,126.0,113.0,113.0,78.0,Cliff's Delta,-0.8842975206611571,-1.0,-0.6528925619834711
1,react-native,300.0,452.0,408.0,418.0,358.0,280.0,262.0,286.0,374.0,368.0,476.0,576.0,976.0,834.0,1946.0,1906.0,1502.0,1027.0,1164.0,1244.0,1302.0,1404.0,Cliff's Delta,1.0,1.0,1.0
2,fastapi,45.0,108.0,168.0,169.0,201.0,103.0,118.0,219.0,116.0,129.0,122.0,143.0,177.0,157.0,160.0,256.0,275.0,252.0,184.0,236.0,567.0,246.0,Cliff's Delta,0.7355371900826446,0.4049586776859504,0.9669421487603306
3,vscode,522.0,451.0,570.0,467.0,456.0,647.0,720.0,588.0,561.0,610.0,1397.0,2263.0,2532.0,2079.0,2075.0,2084.0,2261.0,979.0,2165.0,2085.0,2570.0,593.0,Cliff's Delta,0.9173553719008265,0.7355371900826446,1.0
4,gin,52.0,53.0,56.0,29.0,20.0,28.0,55.0,59.0,50.0,52.0,48.0,72.0,51.0,58.0,53.0,45.0,24.0,53.0,68.0,29.0,26.0,31.0,Cliff's Delta,0.03305785123966942,-0.4380165289256198,0.5208677685950411
5,godot,1150.0,1198.0,1302.0,837.0,0.0,1110.0,1696.0,1484.0,0.0,0.0,0.0,2012.0,1902.0,2046.0,1443.0,610.0,1860.0,1721.0,1962.0,1864.0,1878.0,1857.0,Cliff's Delta,0.8512396694214877,0.5371900826446281,1.0
