,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,0.24087580082261079,0.05593059315743435,0.2137660616474419,0.07782009035985547,0.17134339258349723,0.17972725930439043,0.05088170308514951,0.2363564277639447,0.05622687969399271,0.08508083986571499,0.16879295422077245,0.09206859010978646,0.05097463246566153,0.30607190457233396,0.04855044468417286,0.04619722197212332,0.03882332753437558,0.061073658322143135,0.07825384814443523,0.11152632417511603,0.0653869587643163,0.36574286696771163,Cliff's Delta,-0.2892561983471074,-0.71900826446281,0.2231404958677686
1,react-native,0.01761515610587567,0.03181675197995776,0.013734071342110257,0.03378539447626785,0.1539184587945691,0.12812707152353325,0.1049797741619452,0.1531500385938428,0.12313769153890852,0.054240069842641785,0.1003913398985607,0.11755183550952322,0.11451117127215546,0.5320438593851616,0.16047478895014708,0.2623552683140959,0.11655274803937417,0.19990156703152878,0.21019568712242467,0.1305266028177121,0.1001410255997417,0.1516437953327924,Cliff's Delta,0.6363636363636364,0.2396694214876033,0.9173553719008265
2,fastapi,0.18867388023008136,0.2647275905688915,0.11829318926868072,0.09308811650045999,0.4182125409321065,0.13802847675408705,0.17042161463942354,0.17874353209603341,0.1720048244298807,0.3756363251638661,0.056668972669222654,0.07868319293357988,0.05738264590709285,0.38467057911471886,0.35811424529142066,0.2757654273698159,0.11112107458238514,0.16141704335788498,0.10466595254951788,0.13539353966866485,0.08975769575250797,0.2129341311978511,Cliff's Delta,-0.17355371900826447,-0.6694214876033058,0.30578512396694213
3,vscode,0.08339687181565116,0.08611895088109096,0.07384531852388557,0.061427687988852564,0.07412752456373842,0.19158764334645548,0.060380637846420726,0.23147412187968047,0.08132239395474426,0.08347424269352946,0.06889254309780155,0.0965082048649756,0.09123476597050817,0.07583788426300275,0.08907237022974669,0.07207231004507791,0.07355493860973321,0.06847478335915302,0.08225236216268801,0.09888653687358123,0.09076645290255946,0.07788677623164421,Cliff's Delta,0.14049586776859505,-0.3557851239669421,0.6694214876033058
4,gin,0.1431754129006476,0.07676088211769898,0.05343595975476451,0.03282411175505077,0.10486722774219773,0.0803637520735953,0.06191619568602373,0.14018212504421226,0.024428314313491455,0.06479450689828165,0.07266684374152317,0.05292471159979358,0.05153235670966516,0.06186356369773142,0.08730089668030683,0.055563179659657055,0.037375300273143994,0.059023678974407384,0.1120091225821179,0.045215928595964905,0.027788901583548242,0.02994364170823719,Cliff's Delta,-0.4049586776859504,-0.8512396694214877,0.0747933884297517
5,godot,0.050405610295793594,0.1359632310806001,0.0782058514940521,0.12899820330816314,0.17077181996887716,0.05156315169631558,0.12672307519715317,0.09077845506193741,0.0915074762619688,0.0661670682015475,0.06311351272423549,0.07659167478985447,0.08111737191266001,0.1656225870621701,0.18502839161782955,0.09736301909276816,0.10765401130320992,0.09566972488269933,0.1977836698289607,0.09048325742980298,0.0950354866881987,0.09837172199626606,Cliff's Delta,0.33884297520661155,-0.1409090909090909,0.768595041322314
