,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,254,351,494,245,499,342,331,214,232,193,228,157,199,256,189,159,88,139,100,94,55,68,Cliff's Delta,-0.8842975206611571,-1.0,-0.6198347107438017
1,react-native,1049,937,827,783,733,686,657,517,613,567,618,692,1099,707,1249,1110,1240,1051,1224,1339,1482,1509,Cliff's Delta,0.8347107438016529,0.5371900826446281,1.0
2,fastapi,70,147,218,140,220,105,60,181,138,85,148,270,178,174,172,339,118,508,471,413,592,361,Cliff's Delta,0.7355371900826446,0.38801652892561983,0.9669421487603306
3,vscode,4788,5331,5548,4559,6390,6269,7254,5221,4857,5399,5594,7294,7675,6451,7033,7045,8577,6380,8176,7089,8396,1953,Cliff's Delta,0.71900826446281,0.32231404958677684,1.0
4,gin,38,27,28,12,9,15,46,45,44,28,30,22,26,43,12,7,9,32,41,6,14,10,Cliff's Delta,-0.4380165289256198,-0.8181818181818182,0.008264462809917356
5,godot,1730,2408,2360,2278,2273,2683,2632,3575,3240,3350,2829,3534,3318,3574,2646,2832,2780,3078,2741,2829,2584,2310,Cliff's Delta,0.3305785123966942,-0.17355371900826447,0.7851239669421488
