,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,12703,18577,32536,12429,30843,52297,28778,12772,31397,21150,31804,48919,8649,78406,27862,9950,4098,11335,12507,52664,2586,60732,Cliff's Delta,-0.19008264462809918,-0.7359504132231405,0.339256198347107
1,react-native,159815,408321,199623,442528,4483790,607852,68447,31483,34888,118391,64950,26952,118979,41380,65728,86142,66149,134461,78637,267409,106260,162409,Cliff's Delta,-0.2892561983471074,-0.7355371900826446,0.2231404958677686
2,fastapi,846,2795,2414,1873,2020,435,417,1653,1319,1307,1876,1430,833,4155,38274,30968,3003,2835,5798,28572,50804,32238,Cliff's Delta,0.7520661157024794,0.3549586776859504,1.0
3,vscode,153110,268904,1199643,198064,155223,956323,191304,1338677,176497,153735,163363,171400,257575,220545,231921,148954,2234332,169964,840555,1369018,1960385,34820,Cliff's Delta,0.15702479338842976,-0.3392561983471074,0.6198347107438017
4,gin,1765,171,1110,21,14,290,396,489,516,381,448,1057,137,2783,116,39,30,205,429,474,493,81,Cliff's Delta,-0.10743801652892562,-0.6198347107438017,0.40537190082644586
5,godot,94289,255887,336729,192924,353853,197955,199087,461307,3817383,2290894,727750,381551,302212,5349050,300826,238444,252440,257448,114859,77370,85315,248294,Cliff's Delta,-0.2396694214876033,-0.6863636363636364,0.256198347107438
