,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,2.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.39669421487603307,-0.8099173553719008,0.024999999999999814
1,react-native,5.0,8.0,4.0,1.0,4.0,3.0,6.0,12.0,11.0,12.0,8.0,14.0,19.0,10.0,21.0,11.0,15.0,19.0,16.0,18.0,19.0,21.0,Cliff's Delta,0.9090909090909091,0.7024793388429752,1.0
2,fastapi,6.0,13.0,10.0,6.0,3.0,0.0,4.0,6.0,4.0,6.0,6.0,8.0,6.0,9.0,12.0,7.0,6.0,5.0,3.0,11.0,6.0,5.0,Cliff's Delta,0.256198347107438,-0.2066115702479339,0.6859504132231405
3,vscode,9.0,5.0,10.0,10.0,7.0,8.0,7.0,8.0,10.0,6.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,10.0,0.0,Cliff's Delta,-0.12396694214876033,-0.5702479338842975,0.35537190082644626
4,gin,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cliff's Delta,-0.33884297520661155,-0.7192148760330579,0.06632231404958659
5,godot,2.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,4.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,1.0,Cliff's Delta,0.2892561983471074,-0.18181818181818182,0.7357438016528923
