,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,pre-11,pre-12,pre-13,pre-14,pre-15,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,0.8624517225558892,0.5547578985795832,0.3407138648388648,0.35720794436854886,0.2055650207940992,0.4055203387147831,0.9395814365787193,0.7516679195303552,0.6586096040702161,0.22814890462357781,0.8295770461819844,,,,,,0.0971678099593496,0.096104302832244,0.03562952674897119,0.10511312951671184,0.32667434945721585,0.5370579054433221,0.3750676169590643,0.37861891688199834,0.5262725970017637,0.5492275828460038,3.3136036220043574,Cliff's Delta,-0.2784090909090909,-0.5852272727272727,0.0399147727272726
1,react-native,38.54038029100529,29.52327314814815,,,69.89208333333333,,37.685409432870365,27.88320023148148,102.85249228395061,28.171112764550262,16.62242845117845,,,,,,6.140598544973544,15.205156249999998,11.125351213282249,9.822312595129377,8.745821965939154,4.79803466796875,3.7432331165490886,9.310796211607949,7.712796900161032,9.386525205761318,16.94920524691358,Cliff's Delta,-0.48863636363636365,-0.75,-0.25
2,fastapi,1.0715656565656566,0.6427969250114312,0.6082974982193732,0.5664002792475015,0.3367631172839506,0.24686921296296294,0.3624560185185185,0.4834161867660343,0.021899357379767826,1.7274704218106995,0.3518592171717172,42.28881944444444,,,,,0.07601695693709583,0.5355543530543531,0.613202411014911,0.4317666156622724,3.304617296599879,0.6617382948986722,0.12559313725490195,0.15590835996394625,0.28468829610033314,0.1094201071790969,0.2575560273649446,Cliff's Delta,-0.2159090909090909,-0.5681818181818182,0.1308238636363635
3,vscode,0.20218221247563353,0.32662226228632474,0.18511914762544804,0.22597876297931485,0.2490370124113475,5.123182813284925,0.15195716259012196,0.1774026771336554,0.23526481097279853,0.16155479080323665,0.0725159994553377,0.15336805555555555,,,,,0.04578829437240846,0.13562665551982353,0.033085870294745995,0.04065469600682463,0.042438169457645024,0.04150906475496734,0.1235150873214783,0.04056739387789616,0.3626603869653768,0.0402267318313088,0.03338740122648827,Cliff's Delta,-0.6022727272727273,-0.875,-0.3068181818181818
4,gin,0.0,0.0,0.3024884259259259,0.0,0.0,0.07004546957671957,0.5038428971734893,0.3602977109053498,0.12509556878306877,0.0,0.0,,,,,,0.0,6.200396825396825e-05,0.036323511011011014,0.03398358585858586,0.0,0.0,0.0,0.0002816358024691358,0.8514814814814815,0.0,0.32274768518518515,Cliff's Delta,-0.017045454545454544,-0.3693181818181818,0.30113636363636365
5,godot,9.701045524691358,120.14496527777777,41.48277777777778,3.635912141889276,0.2391267586143892,0.16385661502849003,0.2584992256254819,2.8590500024625687,0.29307893501384435,0.14953237262892588,0.1459675925925926,58.98361111111111,,,,873.7763888888888,0.10889051069840763,0.1771897654805675,0.4459020834681507,0.2275303311422109,0.6978485693685489,0.6945758772586602,0.3380315951916829,0.30152586188796504,0.4576422315505804,3.341934945721584,0.15733682517263026,Cliff's Delta,-0.23295454545454544,-0.5909090909090909,0.1590909090909091
