,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,118278,38125,158496,25385,216286,189009,68139,176479,84567,39678,243450,88252,20392,292508,71656,20751,9338,26355,18107,82594,6659,117911,Cliff's Delta,-0.5041322314049587,-0.8677685950413223,-0.024793388429752067
1,react-native,366661,905805,428607,995846,5310582,1262066,154535,91335,111107,161534,146271,87185,253436,100791,166493,212450,138837,309084,195685,577886,259739,393946,Cliff's Delta,-0.2396694214876033,-0.71900826446281,0.3061983471074376
2,fastapi,5943,11389,14443,7363,20975,5356,6602,13877,11776,20774,6065,8135,6087,36908,114313,76445,17778,27579,33798,82143,82743,69647,Cliff's Delta,0.7355371900826446,0.371900826446281,1.0
3,vscode,342323,632282,1383530,367059,346329,1935965,496077,3017105,416953,404337,445954,391122,711970,522069,532798,413246,4644085,442655,1657186,2636636,2633513,94466,Cliff's Delta,0.2231404958677686,-0.256198347107438,0.7024793388429752
4,gin,3889,633,2377,253,226,767,1867,2133,1439,1005,1563,2284,433,5715,351,114,181,698,1953,1126,1466,142,Cliff's Delta,-0.2396694214876033,-0.6859504132231405,0.256198347107438
5,godot,263561,596281,2041395,987472,1012012,574824,676237,1204892,11603306,6219652,2213256,888752,895685,6397481,860868,635191,789492,763184,273900,454175,636382,1568757,Cliff's Delta,-0.256198347107438,-0.71900826446281,0.2231404958677686
