,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,16.672845499363866,23.2809548092869,18.768230185411575,36.72678821564238,19.59552388423989,33.01960473946523,26.43161215651135,34.70739839039621,41.0320667989418,33.21029413580247,23.83355902777778,18.64228357553155,13.175003101187311,12.287865724147087,16.389900160577245,31.881642346460385,16.581544532627866,10.432287387177093,17.212534816320385,40.746759152091904,16.45883394012945,17.334932943856554,Cliff's Delta,-0.6859504132231405,-1.0,-0.2727272727272727
1,react-native,82.7742335050282,137.2245695668135,241.38587866982837,345.32541079656215,270.992882075968,311.1407840177134,199.39936863867683,90.17928766835017,60.352312076861814,32.3134400025025,21.212144616571702,17.159884741512347,19.837658781086013,29.293257934918092,17.789347288767207,19.549745103463003,15.927013428423367,18.98329675241744,22.723139601294843,10.478381553733547,6.382325605470498,3.7323402777777774,Cliff's Delta,-0.9669421487603306,-1.0,-0.8677685950413223
2,fastapi,17.47549588477366,11.310131494341565,125.5151105428033,303.3655467537148,331.24985476593343,474.7834769417476,366.5574941617503,415.81761547282235,267.58900133700513,211.07468229166668,137.9802873389694,114.16768912894375,116.23316672382259,88.18678758528264,84.51722262976004,61.79838672969187,91.20158632631654,57.17328892356013,34.62237642558718,15.839405278604499,9.705155208548065,8.856365251695356,Cliff's Delta,-0.71900826446281,-1.0,-0.33884297520661155
3,vscode,32.33942298464491,60.67381031922791,33.858856558506844,42.47029129749362,40.4063977217349,28.002449404243585,29.71054155076495,29.57121181748759,34.36655143560992,20.892342527655543,16.341987905592912,8.117640741359951,7.541369328565533,8.277221883799003,8.175280773883403,6.4247636310644785,6.1704490688722435,4.233880379600785,6.531982898468644,3.583368533776029,2.31041767870812,1.8961127908882336,Cliff's Delta,-1.0,-1.0,-1.0
4,gin,40.80914255401235,38.42748602375961,112.96334884751774,210.40769444444447,120.28862139917698,38.458150903880075,65.1137960600907,58.443473695286194,12.601329989711935,65.0701375736532,66.6776244212963,91.83740497076023,76.23549418604651,40.733709239130434,139.95008625440917,123.61424305555555,35.51543595679013,19.267976298309176,27.741839506172838,57.93683712121212,26.962039351851853,25.353086970899472,Cliff's Delta,-0.2066115702479339,-0.6698347107438016,0.2892561983471074
5,godot,84.57334072146735,75.9013882196397,53.986699757341064,77.88378832272133,,49.557945903035936,44.415224688156734,37.78470699230279,,,,44.352799894937355,40.85427319030537,35.499084611392426,43.59408536059351,35.54615181706752,49.517982378707764,35.746320454426986,33.87495610302284,26.91355105695318,22.13385705433181,13.648183279599738,Cliff's Delta,-0.5537190082644629,-0.8181818181818182,-0.256198347107438
