,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,9.602890939512882,10.935067282749676,13.811146234957354,15.498885385385387,10.75511326058201,26.50053875319285,10.185009725742853,17.752352264261386,21.11679427636235,15.855306712962962,14.720801115117522,11.188591104497355,8.967439236111112,4.2259749264451365,13.56749832480507,14.045711602501624,18.249367100235155,5.324889610712863,14.711838955026455,31.777797067901236,16.17514779202279,34.78903549382716,Cliff's Delta,-0.05785123966942149,-0.5702479338842975,0.4214876033057851
1,react-native,1.9762577160493828,0.0884760802469136,3.5453125,0.010104166666666666,0.2517708333333334,6.976006944444444,0.16625,1.0817361111111112,4.917785493827161,4.251192129629629,4.441911651234569,2.669363425925926,0.763462962962963,4.306777146464646,2.0615665665665666,3.93650462962963,9.717385288065843,4.958974093774626,4.223102678571428,5.99181712962963,4.239507850241546,1.1996479552469135,Cliff's Delta,0.33884297520661155,-0.17355371900826447,0.7851239669421488
2,fastapi,16.43230294396961,8.92257119401378,72.96716811342593,261.4830309235518,157.8857730934675,368.7859651771337,136.30145378637567,351.7025803260525,192.62925757137347,120.61785389202761,69.44470052083334,57.42553126428898,65.67346193415638,60.4111939709596,47.76115475792057,33.66494236909323,99.89786234318996,34.693632605820106,19.96672751650165,3.965133306100218,7.52516852317922,8.527627593708166,Cliff's Delta,-0.7024793388429752,-1.0,-0.32231404958677684
3,vscode,10.408090248623939,13.088545090948937,15.866388756158681,9.765454857869074,10.392307989980862,7.568865187302687,9.525452153604498,6.9242837878015635,15.471804418054418,7.462333717554644,4.1918385959939535,3.5528777494743653,2.5332855707525113,2.796391952257551,4.216157081809782,2.838694312726847,2.550794115115605,2.1707475398604883,2.5834133747804606,2.082540981163567,1.2022631785702802,1.1451172957986777,Cliff's Delta,-0.9834710743801653,-1.0,-0.9008264462809917
4,gin,42.43524801587301,14.489903846153844,62.207566650702425,9.580389957264957,35.43486400462963,28.30602904040404,21.80924603174603,58.09130731922399,8.306581222766884,12.077249917328043,27.150570245726495,59.13600654533844,68.5324677328844,46.06721699522103,98.45549672067902,26.61409850823045,31.675882201646093,7.133383796296296,15.822843364197531,57.57322771990741,10.643888888888888,12.321859567901233,Cliff's Delta,0.17355371900826447,-0.32231404958677684,0.6198347107438017
5,godot,35.49216558590015,31.045233784239972,22.090131586327708,38.54061903490028,,25.902411652084353,20.761621700157605,19.2572886548976,,,,24.348654964155802,24.159716382093105,21.13611137798903,29.832076501489798,28.319658646983697,38.96562768828844,26.218115458306617,24.01226498000516,24.32709172674583,20.98127768443847,13.038519951004815,Cliff's Delta,-0.05785123966942149,-0.4380165289256198,0.3225206611570246
