,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,5.66051731176532,4.6583996169146475,3.566807416026006,10.122176742049122,9.13320652690253,7.957706549430487,3.2486542219566967,6.394421585568197,8.281775465821406,4.451968609512735,1.8131646408372373,4.7294242820162955,6.257773124284094,12.62146044549961,7.637623737121257,8.253951092857617,16.67066361405416,6.774077896980936,1.3743303477596938,11.775148796526292,7.780051579454886,7.907741139135778,Cliff's Delta,0.32231404958677684,-0.15702479338842976,0.768595041322314
1,react-native,6.7000779997395385,15.015725454533369,5.739312963980623,9.755242869980703,7.132448595282887,2.231430153574778,4.0163766085427595,4.6384983930076515,4.062714183266284,5.806376367374464,3.720469606618596,2.9073285901551795,3.140364252911618,4.798299609488064,4.376880632160828,4.527197904895597,4.6320108543367775,5.380392890625495,4.223359823616433,4.3911312208587905,3.6114550460789423,4.272871395259514,Cliff's Delta,-0.3884297520661157,-0.8347107438016529,0.17355371900826447
2,fastapi,17.7553905063709,3.621560860748315,14.116826628565134,1.8760297055855664,9.27200832236411,6.464249639249639,7.4847582972582964,2.3840763593249203,7.254104308390023,4.194675867980571,1.0123589113955118,8.36565832218816,1.9145260027087758,13.432841458655941,4.4881139904040825,11.098128227527619,9.40984265079894,3.540908478948822,3.118725657818525,8.391964649018762,0.8038507134517965,7.938464241067373,Cliff's Delta,0.05785123966942149,-0.4380165289256198,0.5371900826446281
3,vscode,5.541374347319325,5.950843474248013,5.671911531363628,2.875096478849322,5.8389258388073975,5.7326057037985345,4.611714348943217,7.8365904244759035,5.3719449002176765,5.049548156673284,5.021133201155968,4.579508226047197,4.732632534222832,5.317180474069594,4.459862985696271,6.305582212208881,5.526690105402613,4.966383702013009,5.169684587300047,7.040015467778328,5.206981809213236,4.0577041063438815,Cliff's Delta,-0.2727272727272727,-0.7359504132231405,0.2066115702479339
4,gin,3.9397198290255795,2.4666666666666663,28.02689855072464,19.0,0.0,1.7539427025009333,11.077777777777778,4.526797385620915,8.204639355742298,2.361111111111111,13.370656370656372,100.16666666666667,3.069444444444444,3.596027205695398,6.017857142857143,2.0,0.0,7.625,4.052579365079365,12.0625,1.7225806451612904,2.5625,Cliff's Delta,-0.1487603305785124,-0.628305785123967,0.3305785123966942
5,godot,6.39398580867494,6.347492497863555,7.487803986138454,8.485420930461768,6.74375179585742,14.640509560481023,6.0037151618158155,7.475112616353052,22.23854465373671,14.798586028737649,15.18350441987248,9.667722759937902,12.508694110954984,8.414225441400866,20.317710346081782,13.790147681132197,14.88478582431639,5.942209537091679,7.0039690470949285,10.088309167791847,13.284967083168613,4.235384381290728,Cliff's Delta,0.05785123966942149,-0.47107438016528924,0.5537190082644629
