,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,184.0,257.0,317.0,185.0,363.0,291.0,263.0,174.0,156.0,145.0,208.0,140.0,160.0,214.0,152.0,115.0,62.0,96.0,67.0,75.0,39.0,21.0,Cliff's Delta,-0.8512396694214877,-1.0,-0.5537190082644629
1,react-native,6.0,8.0,0.0,2.0,4.0,2.0,8.0,4.0,6.0,8.0,8.0,26.0,12.0,22.0,76.0,46.0,46.0,42.0,14.0,35.0,23.0,11.0,Cliff's Delta,1.0,1.0,1.0
2,fastapi,39.0,86.0,120.0,117.0,127.0,45.0,57.0,116.0,49.0,59.0,64.0,81.0,81.0,87.0,84.0,145.0,186.0,147.0,101.0,169.0,298.0,167.0,Cliff's Delta,0.6198347107438017,0.17355371900826447,0.9008264462809917
3,vscode,399.0,340.0,433.0,358.0,329.0,481.0,558.0,440.0,404.0,501.0,1211.0,2061.0,2297.0,1906.0,1886.0,1898.0,2044.0,891.0,1920.0,1864.0,2304.0,521.0,Cliff's Delta,0.9504132231404959,0.8181818181818182,1.0
4,gin,35.0,26.0,29.0,13.0,10.0,13.0,35.0,41.0,35.0,27.0,27.0,29.0,33.0,31.0,12.0,9.0,9.0,25.0,33.0,8.0,11.0,6.0,Cliff's Delta,-0.4628099173553719,-0.8349173553719008,0.01652892561983471
5,godot,871.0,971.0,1069.0,663.0,0.0,902.0,1398.0,1217.0,0.0,0.0,0.0,1568.0,1522.0,1650.0,1069.0,495.0,1281.0,1214.0,1293.0,1310.0,1239.0,1116.0,Cliff's Delta,0.7107438016528925,0.346900826446281,0.9834710743801653
