,repository,pre-0,pre-1,pre-2,pre-3,pre-4,pre-5,pre-6,pre-7,pre-8,pre-9,pre-10,post-0,post-1,post-2,post-3,post-4,post-5,post-6,post-7,post-8,post-9,post-10,test_used,effect_size,ci_lower,ci_upper
0,bootstrap,0.0030816715045024886,0.01523755722827977,0.009620209148202281,0.020158014949755998,0.004750337290797498,0.013986931242718393,0.006245961439181802,0.003090821984259404,0.010063039030768552,0.029239320709837417,0.011257522753106045,0.005204695130898552,0.0010639298348697067,0.006929806145123186,0.006289093506723204,0.03301754319977198,0.005191096950251376,0.03357758915418496,0.03722611060918524,0.1501668360016325,0.005596339854825158,0.005778165044721019,Cliff's Delta,0.05785123966942149,-0.48760330578512395,0.5537190082644629
1,react-native,0.000982581831734631,0.0017209536790293363,0.0016755718552832386,0.0012200768679343967,0.00557181091572211,0.0003887188624593734,0.016467498065520524,0.012725280039548391,0.014311016523866427,0.005130299337839225,0.0213054064676035,0.01593578612611513,0.029359504568309554,0.046214929176616994,0.01230708241520476,0.015511457641720476,0.023929122054571716,0.048238060146089015,0.027756881754112624,0.01834152994249672,0.012815850298565312,0.022029851804411214,Cliff's Delta,0.8016528925619835,0.48760330578512395,1.0
2,fastapi,0.024911176151062333,0.0024113946456752,0.003707211068869827,0.0035123665551871517,0.09637377948114995,0.002969316945433715,0.009912624135185224,0.004527118843371965,0.0063453948512552935,0.002317605475858637,0.002928582130650785,0.004337517754145454,0.0033569254641340114,0.0014368128144932996,0.17797144206507493,3.5516037937693388,0.019301052736072927,0.005994034830150254,0.005953725336779212,0.010811099797456687,0.04453369829025092,0.0066726336515064025,Cliff's Delta,0.35537190082644626,-0.14049586776859505,0.768595041322314
3,vscode,0.04810670868609116,0.05656838337245438,0.053303915965260205,0.013246966448027938,0.06702469840393414,0.08525655804167269,0.019779372485272156,0.06621311145070172,0.013995010898626816,0.012222684403875913,0.010547822721674085,0.016400698490033363,0.012255060860829751,0.013443512866425662,0.014178617825216466,0.016050016786234304,0.1435137210145319,0.01416069743981229,0.020557881375393307,0.013130477185801036,0.021583791359024114,0.03117709969207965,Cliff's Delta,-0.19008264462809918,-0.7355371900826446,0.30578512396694213
4,gin,0.011841940281285922,0.0013129046084669773,0.0062219666624380035,0.0003095975232198105,0.0026666666666666666,0.020542388838566825,0.001510397438082954,0.0034682357287429254,0.0011109509630976104,0.0010151308890738952,0.0025135931121511162,0.0006695507897160982,0.003264487353482262,0.10962596401467525,0.010441890818295307,0.0046339202965708925,8.285004142501764e-05,0.00176056538149134,0.011511446187315344,0.0005129810013369134,0.0007213885358804907,0.007267345050878807,Cliff's Delta,0.008264462809917356,-0.48760330578512395,0.5537190082644629
5,godot,0.006035846340528271,0.010604287886772474,0.0076658172021380495,0.007197195982260845,0.04627229684349972,0.013000027518657527,0.005821305189365824,0.029415459409248692,0.017844261371589117,0.02298659323018293,0.006440867373187408,0.011285986661422965,0.008809736686217129,0.005409857898999241,0.08425296502740524,0.007441737182245608,0.009217611999341206,0.013148886527753152,0.02394380210766962,0.010228840278659201,0.007459956090512437,0.006291888525006848,Cliff's Delta,-0.04132231404958678,-0.5541322314049587,0.47107438016528924
